path,size_bytes,status
a10_rpt_phase1_selected/results_v07_full/stress_fail_m_rate_by_profile.png,120324,included under source_materials/selected_from_uploaded_rpt_project
a10_rpt_phase1_selected/results_v07_full/stress_unsafe_duration_by_profile.png,119753,included under source_materials/selected_from_uploaded_rpt_project
a10_rpt_phase1_selected/results_v08_full/best_cvar90V_heatmap.png,137048,included under source_materials/selected_from_uploaded_rpt_project
a10_rpt_phase1_selected/results_v08_full/best_failure_rate_heatmap.png,143673,included under source_materials/selected_from_uploaded_rpt_project
a10_rpt_phase1_selected/results_v08_full/best_unsafe_duration_heatmap.png,150238,included under source_materials/selected_from_uploaded_rpt_project
a10_rpt_phase1_selected/results_v09_frontier/frontier_failure_rate_combined_harsh.png,97739,included under source_materials/selected_from_uploaded_rpt_project
a10_rpt_phase1_selected/results_v09_frontier/frontier_failure_rate_combined_moderate.png,90306,included under source_materials/selected_from_uploaded_rpt_project
a10_rpt_phase1_selected/results_v09_frontier/frontier_failure_rate_heat_150.png,120534,included under source_materials/selected_from_uploaded_rpt_project
a10_rpt_phase1_selected/results_v10_confirm_combined_harsh/frontier_failure_rate_combined_harsh.png,54453,included under source_materials/selected_from_uploaded_rpt_project
a10_rpt_phase1_selected/results_v10_confirm_combined_moderate/frontier_failure_rate_combined_moderate.png,54127,included under source_materials/selected_from_uploaded_rpt_project
a10_rpt_phase1_selected/results_v10_confirm_heat150/frontier_failure_rate_heat_150.png,70715,included under source_materials/selected_from_uploaded_rpt_project
A10_PTF_Rocket_selected/output/ansatz_optimization_result.png,94134,included under source_materials/selected_from_uploaded_rpt_project
A10_PTF_Rocket_selected/output/diagnostic_analysis.png,69459,included under source_materials/selected_from_uploaded_rpt_project
A10_PTF_Rocket_selected/output/dynamic_cost_comparison.png,40278,included under source_materials/selected_from_uploaded_rpt_project
A10_PTF_Rocket_selected/output/edge_of_chaos_comparison.png,27758,included under source_materials/selected_from_uploaded_rpt_project
A10_PTF_Rocket_selected/output/freq_drift_comparison.png,60362,included under source_materials/selected_from_uploaded_rpt_project
A10_PTF_Rocket_selected/output/ood_survival_test.png,36418,included under source_materials/selected_from_uploaded_rpt_project
A10_PTF_Rocket_selected/output/optimization_result.png,83458,included under source_materials/selected_from_uploaded_rpt_project
A10_PTF_Rocket_selected/output/pmp_eigen_proof.png,102711,included under source_materials/selected_from_uploaded_rpt_project
A10_PTF_Rocket_selected/output/resource_limit_comparison.png,43730,included under source_materials/selected_from_uploaded_rpt_project
A10_PTF_Rocket_selected/output/robust_optimization_result.png,99704,included under source_materials/selected_from_uploaded_rpt_project
A10_PTF_Rocket_selected/output/saturation_optimization_result.png,82331,included under source_materials/selected_from_uploaded_rpt_project
A10_PTF_Rocket_selected/output/spectral_sensitivity.png,69044,included under source_materials/selected_from_uploaded_rpt_project
