original_path,size_bytes,decision
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/cycler/py.typed,0,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/cycler/__init__.py,16709,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/cycler/__pycache__/__init__.cpython-312.pyc,22951,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/cycler-0.12.1.dist-info/INSTALLER,4,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/cycler-0.12.1.dist-info/LICENSE,1497,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/cycler-0.12.1.dist-info/METADATA,3779,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/cycler-0.12.1.dist-info/RECORD,672,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/cycler-0.12.1.dist-info/top_level.txt,7,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/cycler-0.12.1.dist-info/WHEEL,92,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/dateutil/easter.py,2678,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/dateutil/parser/isoparser.py,13233,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/dateutil/parser/_parser.py,58796,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/dateutil/parser/__init__.py,1766,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/dateutil/parser/__pycache__/isoparser.cpython-312.pyc,15575,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/dateutil/parser/__pycache__/_parser.cpython-312.pyc,61842,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/dateutil/parser/__pycache__/__init__.cpython-312.pyc,2649,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/dateutil/relativedelta.py,24903,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/dateutil/rrule.py,66557,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/dateutil/tz/tz.py,62855,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/dateutil/tz/win.py,12935,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/dateutil/tz/_common.py,12977,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/dateutil/tz/_factories.py,2569,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/dateutil/tz/__init__.py,444,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/dateutil/tz/__pycache__/tz.cpython-312.pyc,66002,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/dateutil/tz/__pycache__/win.cpython-312.pyc,17258,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/dateutil/tz/__pycache__/_common.cpython-312.pyc,14155,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/dateutil/tz/__pycache__/_factories.cpython-312.pyc,4588,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/dateutil/tz/__pycache__/__init__.cpython-312.pyc,702,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/dateutil/tzwin.py,59,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/dateutil/utils.py,1965,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/dateutil/zoneinfo/dateutil-zoneinfo.tar.gz,156400,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/dateutil/zoneinfo/rebuild.py,2392,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/dateutil/zoneinfo/__init__.py,5889,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/dateutil/zoneinfo/__pycache__/rebuild.cpython-312.pyc,3951,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/dateutil/zoneinfo/__pycache__/__init__.cpython-312.pyc,7425,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/dateutil/_common.py,932,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/dateutil/_version.py,166,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/dateutil/__init__.py,620,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/dateutil/__pycache__/easter.cpython-312.pyc,2843,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/dateutil/__pycache__/relativedelta.cpython-312.pyc,28356,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/dateutil/__pycache__/rrule.cpython-312.pyc,69216,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/dateutil/__pycache__/tzwin.cpython-312.pyc,202,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/dateutil/__pycache__/utils.cpython-312.pyc,2555,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/dateutil/__pycache__/_common.cpython-312.pyc,1920,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/dateutil/__pycache__/_version.cpython-312.pyc,299,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/dateutil/__pycache__/__init__.cpython-312.pyc,1123,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/fontTools/afmLib.py,13164,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/fontTools/agl.py,112975,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/fontTools/annotations.py,1225,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/fontTools/cffLib/CFF2ToCFF.py,8201,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/fontTools/cffLib/CFFToCFF2.py,10119,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/fontTools/cffLib/specializer.py,32609,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/fontTools/cffLib/transforms.py,17455,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/fontTools/cffLib/width.py,6074,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/fontTools/cffLib/__init__.py,107890,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/fontTools/cffLib/__pycache__/CFF2ToCFF.cpython-312.pyc,10279,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/fontTools/cffLib/__pycache__/CFFToCFF2.cpython-312.pyc,10207,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/fontTools/cffLib/__pycache__/specializer.cpython-312.pyc,28696,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/fontTools/cffLib/__pycache__/transforms.cpython-312.pyc,21745,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/fontTools/cffLib/__pycache__/width.cpython-312.pyc,9864,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/fontTools/cffLib/__pycache__/__init__.cpython-312.pyc,124076,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/fontTools/colorLib/builder.py,23711,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/fontTools/colorLib/errors.py,41,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/fontTools/colorLib/geometry.py,5518,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/fontTools/colorLib/table_builder.py,7469,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/fontTools/colorLib/unbuilder.py,2142,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/fontTools/colorLib/__init__.py,0,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/fontTools/colorLib/__pycache__/builder.cpython-312.pyc,30766,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/fontTools/colorLib/__pycache__/errors.cpython-312.pyc,375,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/fontTools/colorLib/__pycache__/geometry.cpython-312.pyc,5366,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/fontTools/colorLib/__pycache__/table_builder.cpython-312.pyc,9982,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/fontTools/colorLib/__pycache__/unbuilder.cpython-312.pyc,3647,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/fontTools/colorLib/__pycache__/__init__.cpython-312.pyc,187,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/fontTools/config/__init__.py,3154,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/fontTools/config/__pycache__/__init__.cpython-312.pyc,3719,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/fontTools/cu2qu/benchmark.py,1296,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/fontTools/cu2qu/cli.py,6075,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/fontTools/cu2qu/cu2qu.c,651358,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/fontTools/cu2qu/cu2qu.cpython-312-x86_64-linux-gnu.so,1078976,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/fontTools/cu2qu/cu2qu.py,18245,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/fontTools/cu2qu/errors.py,2441,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/fontTools/cu2qu/ufo.py,13124,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/fontTools/cu2qu/__init__.py,618,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/fontTools/cu2qu/__main__.py,92,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/fontTools/cu2qu/__pycache__/benchmark.cpython-312.pyc,2759,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/fontTools/cu2qu/__pycache__/cli.cpython-312.pyc,8581,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/fontTools/cu2qu/__pycache__/cu2qu.cpython-312.pyc,23339,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/fontTools/cu2qu/__pycache__/errors.cpython-312.pyc,4976,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/fontTools/cu2qu/__pycache__/ufo.cpython-312.pyc,15796,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/fontTools/cu2qu/__pycache__/__init__.cpython-312.pyc,213,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/fontTools/cu2qu/__pycache__/__main__.cpython-312.pyc,362,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/fontTools/designspaceLib/split.py,19239,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/fontTools/designspaceLib/statNames.py,9237,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/fontTools/designspaceLib/types.py,5320,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/fontTools/designspaceLib/__init__.py,129709,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/fontTools/designspaceLib/__main__.py,103,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/fontTools/designspaceLib/__pycache__/split.cpython-312.pyc,17902,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/fontTools/designspaceLib/__pycache__/statNames.cpython-312.pyc,9459,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/fontTools/designspaceLib/__pycache__/types.cpython-312.pyc,6343,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/fontTools/designspaceLib/__pycache__/__init__.cpython-312.pyc,131348,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/fontTools/designspaceLib/__pycache__/__main__.cpython-312.pyc,380,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/fontTools/diff/color.py,1387,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/fontTools/diff/diff.py,8964,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/fontTools/diff/utils.py,1020,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/fontTools/diff/__init__.py,13626,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/fontTools/diff/__main__.py,93,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/fontTools/diff/__pycache__/color.cpython-312.pyc,1611,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/fontTools/diff/__pycache__/diff.cpython-312.pyc,9618,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/fontTools/diff/__pycache__/utils.cpython-312.pyc,1819,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/fontTools/diff/__pycache__/__init__.cpython-312.pyc,15638,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/fontTools/diff/__pycache__/__main__.cpython-312.pyc,360,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/fontTools/encodings/codecs.py,4721,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/fontTools/encodings/MacRoman.py,3576,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/fontTools/encodings/StandardEncoding.py,3581,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/fontTools/encodings/__init__.py,75,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/fontTools/encodings/__pycache__/codecs.cpython-312.pyc,5741,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/fontTools/encodings/__pycache__/MacRoman.cpython-312.pyc,2241,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/fontTools/encodings/__pycache__/StandardEncoding.cpython-312.pyc,1831,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/fontTools/encodings/__pycache__/__init__.cpython-312.pyc,271,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/fontTools/feaLib/ast.py,74158,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/fontTools/feaLib/builder.py,75405,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/fontTools/feaLib/error.py,648,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/fontTools/feaLib/lexer.c,748779,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/fontTools/feaLib/lexer.cpython-312-x86_64-linux-gnu.so,1388264,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/fontTools/feaLib/lexer.py,11121,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/fontTools/feaLib/location.py,234,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/fontTools/feaLib/lookupDebugInfo.py,304,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/fontTools/feaLib/parser.py,99974,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/fontTools/feaLib/variableScalar.py,9671,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/fontTools/feaLib/__init__.py,213,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/fontTools/feaLib/__main__.py,2240,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/fontTools/feaLib/__pycache__/ast.cpython-312.pyc,118693,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/fontTools/feaLib/__pycache__/builder.cpython-312.pyc,86879,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/fontTools/feaLib/__pycache__/error.cpython-312.pyc,1463,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/fontTools/feaLib/__pycache__/lexer.cpython-312.pyc,15228,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/fontTools/feaLib/__pycache__/location.cpython-312.pyc,807,excluded: virtual environment/cache/binary dependency
